Вартість (грн),Обрамлення,Потужність (л/г),Охоронний статус,Ступінь небезпеки,Матеріал,Лояльність клієнта,Статус проєкта
754.35,Просте,46.12,Вищий статус охорони,Висока,Льон,1.87,Узгоджено
1041.28,Стандартне,27.29,Вищий статус охорони,Висока,Залізо,0.41,Заблоковано
826.36,Просте,59.19,Не охороняється,Безпечний,Поліпропілен,2.07,Узгоджено
946.28,Коштовне,13.6,Невелике занепокоєння,Висока,Поліпропілен,2.28,Заблоковано
928.27,Стандартне,55.08,Вищий статус охорони,Висока,Скло,1.02,Заблоковано
635.76,Стандартне,70.44,Не охороняється,Висока,Скло,1.87,Узгоджено
730.24,Просте,48.8,Не охороняється,Помірна,Поліпропілен,0.12,Узгоджено
734.57,Коштовне,24.46,Вищий статус охорони,Помірна,Залізо,0.0,Узгоджено
888.35,Стандартне,55.53,Невелике занепокоєння,Помірна,Залізо,4.25,Узгоджено
869.75,Просте,29.34,Не охороняється,Помірна,Поліпропілен,3.85,Заблоковано
884.96,Стандартне,47.19,Невелике занепокоєння,Висока,Льон,1.55,Узгоджено
1100.01,Коштовне,28.51,Невелике занепокоєння,Висока,Льон,1.37,Заблоковано
1061.61,Просте,28.77,Не охороняється,Безпечний,Скло,3.77,Заблоковано
620.9,Стандартне,49.51,Не охороняється,Помірна,Поліпропілен,0.51,Узгоджено
932.17,Стандартне,48.87,Не охороняється,Безпечний,Льон,0.4,Заблоковано
941.62,Стандартне,29.39,Не охороняється,Безпечний,Залізо,0.97,Заблоковано
587.55,Стандартне,33.16,Не охороняється,Помірна,Поліпропілен,5.6,Узгоджено
606.2,Коштовне,26.63,Невелике занепокоєння,Висока,Льон,0.07,Узгоджено
974.13,Стандартне,54.56,Вищий статус охорони,Безпечний,Залізо,2.34,Заблоковано
806.02,Просте,43.17,Невелике занепокоєння,Помірна,Скло,4.18,Узгоджено
983.03,Просте,37.05,Вищий статус охорони,Безпечний,Скло,4.02,Заблоковано
819.0,Коштовне,50.65,Вищий статус охорони,Безпечний,Скло,4.23,Узгоджено
1094.87,Коштовне,30.66,Не охороняється,Помірна,Скло,1.05,Заблоковано
982.06,Стандартне,51.36,Вищий статус охорони,Помірна,Залізо,0.36,Заблоковано
990.69,Стандартне,30.38,Невелике занепокоєння,Висока,Залізо,3.92,Заблоковано
1187.16,Коштовне,55.59,Невелике занепокоєння,Помірна,Льон,0.0,Заблоковано
1205.3,Стандартне,59.87,Не охороняється,Помірна,Скло,3.0,Заблоковано
850.52,Коштовне,23.37,Невелике занепокоєння,Безпечний,Льон,3.68,Заблоковано
663.77,Стандартне,47.1,Невелике занепокоєння,Помірна,Залізо,0.45,Узгоджено
1011.3,Стандартне,34.43,Невелике занепокоєння,Висока,Поліпропілен,4.16,Заблоковано
1404.93,Просте,58.3,Невелике занепокоєння,Помірна,Поліпропілен,4.29,Заблоковано
812.66,Коштовне,22.48,Невелике занепокоєння,Висока,Залізо,1.26,Узгоджено
630.89,Стандартне,51.22,Не охороняється,Висока,Поліпропілен,7.55,Узгоджено
987.84,Просте,27.76,Невелике занепокоєння,Помірна,Льон,1.95,Заблоковано
932.43,Просте,52.19,Не охороняється,Висока,Залізо,3.65,Заблоковано
1165.86,Коштовне,44.83,Вищий статус охорони,Безпечний,Поліпропілен,3.77,Заблоковано
655.17,Просте,40.17,Невелике занепокоєння,Висока,Льон,2.39,Узгоджено
611.76,Стандартне,26.44,Невелике занепокоєння,Помірна,Льон,3.75,Узгоджено
1147.13,Просте,43.87,Вищий статус охорони,Висока,Поліпропілен,5.02,Заблоковано
833.57,Коштовне,32.64,Вищий статус охорони,Висока,Льон,0.95,Узгоджено
673.41,Просте,66.37,Вищий статус охорони,Висока,Поліпропілен,2.19,Узгоджено
894.54,Коштовне,58.97,Вищий статус охорони,Висока,Поліпропілен,1.11,Узгоджено
853.72,Просте,52.45,Не охороняється,Безпечний,Льон,0.47,Узгоджено
769.13,Просте,40.43,Вищий статус охорони,Висока,Поліпропілен,3.44,Узгоджено
930.15,Просте,71.46,Вищий статус охорони,Помірна,Залізо,2.64,Узгоджено
1062.03,Стандартне,52.95,Не охороняється,Помірна,Поліпропілен,5.02,Заблоковано
1083.95,Просте,72.0,Не охороняється,Висока,Скло,3.97,Заблоковано
756.69,Стандартне,56.27,Невелике занепокоєння,Безпечний,Залізо,2.73,Узгоджено
718.85,Стандартне,43.73,Невелике занепокоєння,Безпечний,Залізо,2.1,Узгоджено
853.95,Коштовне,51.78,Не охороняється,Помірна,Поліпропілен,1.57,Узгоджено
812.16,Просте,68.26,Не охороняється,Помірна,Скло,2.4,Узгоджено
1083.25,Стандартне,7.72,Вищий статус охорони,Безпечний,Скло,1.24,Заблоковано
959.35,Просте,39.6,Невелике занепокоєння,Помірна,Поліпропілен,0.0,Заблоковано
1039.18,Просте,69.34,Невелике занепокоєння,Безпечний,Поліпропілен,1.21,Заблоковано
1140.4,Стандартне,39.27,Вищий статус охорони,Помірна,Скло,0.34,Заблоковано
1080.91,Просте,42.63,Невелике занепокоєння,Безпечний,Поліпропілен,1.34,Заблоковано
904.52,Стандартне,48.56,Не охороняється,Помірна,Поліпропілен,3.26,Узгоджено
974.3,Коштовне,63.89,Невелике занепокоєння,Помірна,Льон,6.98,Заблоковано
876.26,Стандартне,53.92,Невелике занепокоєння,Безпечний,Скло,0.0,Узгоджено
542.98,Стандартне,36.05,Не охороняється,Безпечний,Скло,1.72,Узгоджено
1139.16,Просте,50.85,Вищий статус охорони,Висока,Скло,3.83,Заблоковано
795.04,Стандартне,67.28,Вищий статус охорони,Безпечний,Скло,2.96,Узгоджено
864.84,Стандартне,45.71,Не охороняється,Помірна,Льон,2.86,Узгоджено
1209.75,Коштовне,71.73,Невелике занепокоєння,Безпечний,Скло,3.91,Заблоковано
900.52,Просте,33.85,Вищий статус охорони,Висока,Залізо,3.83,Заблоковано
762.48,Просте,55.14,Не охороняється,Висока,Льон,2.74,Узгоджено
1147.2,Просте,30.59,Не охороняється,Висока,Поліпропілен,4.13,Заблоковано
1540.27,Просте,61.35,Невелике занепокоєння,Помірна,Льон,1.11,Заблоковано
786.71,Просте,46.74,Невелике занепокоєння,Помірна,Поліпропілен,2.45,Узгоджено
910.37,Коштовне,73.16,Вищий статус охорони,Висока,Поліпропілен,1.32,Узгоджено
686.66,Стандартне,29.33,Невелике занепокоєння,Висока,Скло,4.07,Узгоджено
1056.62,Коштовне,53.35,Не охороняється,Безпечний,Залізо,5.26,Заблоковано
1136.91,Коштовне,47.6,Не охороняється,Помірна,Поліпропілен,2.22,Заблоковано
695.82,Коштовне,39.81,Невелике занепокоєння,Висока,Поліпропілен,0.0,Узгоджено
1029.8,Коштовне,45.29,Невелике занепокоєння,Помірна,Залізо,2.59,Заблоковано
1095.43,Коштовне,74.77,Не охороняється,Помірна,Скло,3.3,Заблоковано
883.81,Коштовне,49.66,Вищий статус охорони,Висока,Поліпропілен,2.51,Узгоджено
1139.85,Просте,35.97,Не охороняється,Висока,Залізо,1.03,Заблоковано
762.11,Стандартне,45.7,Вищий статус охорони,Безпечний,Поліпропілен,2.46,Узгоджено
805.97,Просте,70.48,Вищий статус охорони,Помірна,Скло,4.6,Узгоджено
907.72,Коштовне,60.35,Вищий статус охорони,Помірна,Льон,2.0,Узгоджено
1078.72,Стандартне,31.9,Вищий статус охорони,Помірна,Залізо,4.47,Заблоковано
1081.45,Стандартне,63.02,Не охороняється,Помірна,Залізо,6.58,Заблоковано
999.04,Просте,53.39,Невелике занепокоєння,Висока,Залізо,4.22,Заблоковано
790.51,Просте,47.46,Невелике занепокоєння,Безпечний,Скло,4.81,Узгоджено
712.85,Коштовне,44.98,Не охороняється,Висока,Льон,0.0,Узгоджено
797.49,Стандартне,69.47,Вищий статус охорони,Безпечний,Льон,0.0,Узгоджено
1011.5,Стандартне,52.99,Невелике занепокоєння,Висока,Поліпропілен,3.06,Заблоковано
1008.25,Коштовне,48.82,Невелике занепокоєння,Помірна,Залізо,7.4,Заблоковано
1091.44,Просте,30.54,Невелике занепокоєння,Помірна,Скло,0.5,Заблоковано
722.71,Коштовне,54.91,Невелике занепокоєння,Помірна,Скло,4.78,Узгоджено
818.89,Коштовне,37.23,Невелике занепокоєння,Помірна,Залізо,3.1,Узгоджено
1009.62,Коштовне,59.73,Вищий статус охорони,Помірна,Залізо,3.51,Заблоковано
1028.43,Коштовне,17.04,Вищий статус охорони,Безпечний,Льон,1.3,Заблоковано
1029.96,Коштовне,25.9,Невелике занепокоєння,Висока,Залізо,1.65,Заблоковано
1006.81,Коштовне,14.1,Не охороняється,Безпечний,Залізо,0.83,Заблоковано
1050.85,Стандартне,33.24,Невелике занепокоєння,Помірна,Льон,0.24,Заблоковано
1088.66,Коштовне,51.4,Невелике занепокоєння,Безпечний,Скло,2.76,Заблоковано
1270.8,Стандартне,64.39,Невелике занепокоєння,Помірна,Залізо,0.69,Заблоковано
738.45,Коштовне,39.35,Не охороняється,Висока,Скло,6.38,Узгоджено
820.51,Стандартне,59.77,Не охороняється,Безпечний,Поліпропілен,0.48,Узгоджено
832.61,Стандартне,53.39,Вищий статус охорони,Безпечний,Поліпропілен,0.85,Узгоджено
999.46,Стандартне,70.71,Вищий статус охорони,Безпечний,Скло,1.91,Заблоковано
551.86,Просте,49.98,Вищий статус охорони,Висока,Скло,7.29,Узгоджено
880.9,Стандартне,37.28,Вищий статус охорони,Висока,Скло,0.71,Заблоковано
728.72,Просте,35.98,Вищий статус охорони,Помірна,Льон,4.28,Узгоджено
1166.43,Стандартне,23.61,Невелике занепокоєння,Безпечний,Скло,1.82,Заблоковано
883.81,Просте,34.86,Невелике занепокоєння,Висока,Залізо,3.37,Заблоковано
998.39,Просте,49.94,Не охороняється,Безпечний,Залізо,4.62,Заблоковано
1169.6,Стандартне,33.6,Невелике занепокоєння,Висока,Скло,4.14,Заблоковано
1136.01,Стандартне,45.5,Невелике занепокоєння,Помірна,Скло,1.91,Заблоковано
932.99,Коштовне,25.67,Невелике занепокоєння,Помірна,Залізо,1.89,Заблоковано
910.85,Просте,24.38,Не охороняється,Безпечний,Скло,2.76,Заблоковано
813.71,Коштовне,66.48,Не охороняється,Висока,Залізо,1.34,Узгоджено
923.21,Просте,51.14,Вищий статус охорони,Помірна,Скло,4.08,Заблоковано
449.72,Стандартне,50.67,Вищий статус охорони,Безпечний,Залізо,1.57,Узгоджено
1006.55,Стандартне,28.21,Не охороняється,Безпечний,Залізо,2.18,Заблоковано
1104.26,Просте,37.67,Не охороняється,Висока,Льон,0.38,Заблоковано
1078.4,Коштовне,33.05,Не охороняється,Висока,Льон,6.76,Заблоковано
690.27,Стандартне,56.82,Вищий статус охорони,Висока,Поліпропілен,2.89,Узгоджено
765.7,Стандартне,55.55,Вищий статус охорони,Висока,Залізо,3.11,Узгоджено
