A,B
90.62,105.54
101.44,113.9
99.2,131.32
116.82,132.44
75.36,85.84
70.17,64.33
80.76,104.47
68.6,58.51
122.72,66.77
101.59,81.29
39.95,64.35
74.82,77.13
88.88,106.24
40.85,106.38
104.96,103.76
67.86,75.86
55.02,122.9
72.49,113.2
57.3,42.22
99.07,85.74
87.87,116.04
68.41,84.39
60.95,117.21
80.4,92.61
52.52,151.55
81.0,87.7
62.01,71.92
84.94,93.65
97.96,75.96
74.8,84.33
79.83,77.05
83.92,66.82
97.77,116.81
95.72,91.94
89.46,96.89
87.33,51.73
53.5,123.71
35.44,45.39
53.71,86.36
147.08,92.88
80.31,51.34
63.28,129.96
89.25,76.18
79.74,78.14
90.91,95.96
92.27,110.73
58.67,104.54
61.37,72.35
100.9,95.29
57.28,89.69
82.75,114.1
65.62,119.68
86.59,92.42
94.24,99.05
65.02,114.41
102.27,91.68
62.93,96.92
61.47,121.22
72.9,95.31
80.17,98.75
61.32,76.91
16.27,82.16
61.18,92.72
83.58,113.92
88.52,59.23
79.41,84.08
134.12,101.1
90.36,109.53
60.34,95.63
77.6,77.36
85.83,108.12
91.88,96.14
93.76,102.9
89.21,74.91
66.46,97.12
109.3,86.41
102.75,82.14
78.74,63.58
68.83,63.11
94.44,52.49
78.87,122.3
56.1,77.05
97.06,138.07
75.19,47.03
123.47,85.96
7.15,122.46
103.27,61.63
65.48,62.73
57.41,99.84
87.39,103.9
137.24,93.03
52.62,72.63
98.5,88.36
101.14,140.37
89.3,118.92
64.85,93.64
73.02,71.48
123.65,82.67
74.48,129.79
83.65,117.82
